geoid,name,land_area,total,airport,cement,cmv,commercial,elec_prod,industrial,nonroad,onroad,rail,residential
11890,"Bushnell, FL",7043134,5759,0,0,0,609,0,12,204,4284,619,28
11917,"Bushnell, IL",3807535,5024,0,0,0,7,0,420,105,2183,1824,482
11944,"Butler, IN",3181621,4455,0,0,0,144,0,281,212,2448,1063,305
11971,"Butler, MO",5541851,15937,0,0,0,461,25,82,187,14647,14,518
11998,"Butler, PA",85115081,74440,1088,0,0,7606,0,2537,3672,39933,127,19474
12025,"Butner, NC",44249041,11164,0,0,0,1533,0,1824,1852,5257,23,673
12052,"Butte-Silver Bow, MT",42753214,48274,5329,0,0,9541,0,0,1165,17840,10,14386
12079,"Byron, IL",13455947,13869,14,0,0,260,0,1288,959,10163,62,1119
12106,"Byron, MN",6140508,5376,0,0,0,259,0,258,511,3504,19,823
12120,"Cache, OK",3986913,2426,0,0,0,16,0,80,40,2227,4,56
12133,"Cactus, TX",1924898,1646,0,0,0,7,0,32,48,1404,71,83
12160,"Cadillac, MI",22604234,28351,0,0,0,3316,0,4498,2258,13677,109,4489
12187,"Cadiz, KY",5668110,5641,0,0,0,67,0,62,55,5408,0,48
12214,"Cadiz, OH",4474127,2530,0,0,0,107,0,79,62,2055,6,218
12241,"Cairo, GA",16698683,7765,0,0,0,710,0,878,463,5055,50,607
12268,"Cairo, IL",4930202,16422,0,0,12,112,0,9374,252,5793,242,634
12295,"Calais, ME",4411532,4684,0,0,0,510,0,0,146,3124,37,865
12322,"Caldwell, OH",7284506,7307,0,0,0,387,0,779,185,5359,0,595
12349,"Caldwell, TX",7878913,4798,48,0,0,295,0,244,299,3193,497,220
12376,"Caledonia, MN",4414356,1838,0,0,0,138,0,39,51,1444,0,164
12457,"Calhoun, GA",85690929,81639,3,0,0,2600,0,6309,3912,65273,470,3069
12511,"California, MO",5863699,5542,12,0,0,185,0,143,148,4354,263,433
12565,"California City, CA",19513997,7158,0,0,0,581,0,7,533,4982,0,1054
12592,"Calipatria, CA",2661779,48677,0,0,0,107,0,47068,202,1156,15,126
12646,"Calistoga, CA",6718708,4051,0,0,0,226,0,114,177,2160,0,1372
12700,"Camano, WA",17183717,4863,0,0,187,393,0,0,305,3116,0,860
12713,"Camano North, WA",5160298,1601,0,0,14,235,0,0,83,916,0,351
12754,"Camarillo, CA",56939389,134173,26535,0,0,6336,0,442,5889,80578,721,13669
12781,"Cambria, CA",9244032,3882,0,0,0,268,0,1,185,2554,0,873
12808,"Cambridge, MD",22411486,18180,7,0,0,3119,0,1517,1672,8722,0,3140
12835,"Cambridge, MN",25607885,26898,7,0,0,2031,0,3685,1202,16436,583,2952
12862,"Cambridge, OH",25587800,51790,0,0,0,2813,0,4655,1716,38087,0,4517
12872,"Cambridge, WI",4566742,3524,0,0,0,90,0,27,118,3042,0,245
12889,"Cambridge City, IN",7919881,5669,0,0,0,327,0,319,331,3970,52,669
12890,"Cambridge Springs, PA",2092689,1277,0,0,0,18,0,372,46,769,5,65
12916,"Camden, AR",30703130,17228,16,0,4,4727,0,0,577,8923,524,2453
12943,"Camden, ME",7714432,5258,0,0,0,1053,0,6,418,2355,0,1424
12970,"Camden, SC",40766383,26969,0,0,0,1492,0,1338,1591,21256,91,1199
12997,"Camden, TN",10414691,4346,13,0,0,223,0,215,157,3370,62,303
13024,"Camdenton, MO",7577533,5068,0,0,0,168,0,55,192,4583,0,68
