country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,40.3,51.3,66,69.7,91.7,77,80.7,47.7,55,73.3,58.7,110,84.3,88,73.3,132,165,80.7,121,1670,2920,3660,4040,4330,4820,4800,5180,5540,5610,6470,7070,7940,8210,9140,12.9k,13.6k,13.5k,13.8k,14.8k,16.6k,16.2k,16.9k,19.3k,19.4k,19.6k,19.5k,19.8k,21k,20.9k,21k,21k,23.9k,23.7k,23.5k,24.6k,26.4k,27.1k,29.7k,31.4k,35.9k,36.2k,42.1k,44.3k,47.5k,49.9k,52k,54.9k,56.1k,54.8k,59.6k,63.1k,59.3k,62.5k,58.7k,56.6k,62.2k,62.9k,68k,63.9k,68.3k,68.7k,74.8k,65k,61.9k,65k,63.9k,64.7k,64.3k
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,671,1230,1070,1610,1270,1480,1470,1700,1870,2680,2310,2980,2770,3000,3070,4110,3810,3790,4360,5070,5960,6280,6650,7370,8380,8340,10.2k,10.9k,11.3k,12.2k,11k,10.9k,10.5k,13.1k,12k,11.4k,11.9k,12.4k,13.6k,13.9k,13.5k,15k,15.3k,16.2k,17.9k,21.1k,22.8k,23.3k,25.7k,25.8k,26.6k,27.9k,30k,27.3k,23.8k,23.5k,16.1k,19k,18.6k,17.9k,21.9k,25.7k,26.8k,32.2k,31k,35.9k,40.4k,38.2k,44.1k,39.6k,34.2k,28.1k,30.5k,39.7k,45.4k,32k,45.2k,45k,46.2k,49.1k,42.9k,41.9k,7120,3590,4360,22.2k,36.8k,35.6k,39.8k,41.5k,48.9k,50.7k,56.1k,65k,73.4k,83.6k,87.2k,87.7k,94.2k,109k,124k,146k,165k,176k,190k,214k,234k,249k,270k,297k,311k,329k,354k,359k,341k,366k,355k,372k,386k,387k,376k,367k,359k,365k,369k,363k,380k,386k,405k,440k,440k,438k,431k,425k,452k,445k,449k,460k,465k,471k,476k,478k,491k,495k,495k,489k,479k,468k,417k,427k,414k,393k,364k,349k,356k,354k,349k,338k
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,521,565,616,792,986,1260,1610,1360,1840,1470,2130,2120,2400,4070,2990,3520,3870,3880,4270,4990,5750,6290,8300,7600,8190,7280,7450,9120,8540,8450,7410,6220,6450,5150,5050,4550,5380,4530,6730,7530,7760,7720,8010,8200,9180,9700,10.1k,9700,9970,10.3k,10.6k,10.2k,10.7k,10.6k,10.4k,11.4k,9620,9950,7620,7130,7680,7330,7950,7290,7590,8170,8180,8200
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,161,194,213,253,381,451,495,524,656,744,978,1050,1220,1240,1420,1580,1410,1510,1760,1560,1660,1920,2200,2230,2490,2950,3160,3630,3780,4700,5830,6260,7310,8250,8430,9170,9510,9180,9090,10.5k,9910,12k,11.8k,13.3k,13.2k,13.8k,14.1k,14.3k,14.3k,15.2k,15.6k,16.4k,17k,18.7k,20.5k,20.5k,21.5k,20.7k,21.4k,20.6k,21.3k,23.8k,23.8k,25.9k,25.5k,24.4k,24.2k,24.1k
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,18.3,25.7,33,40.3,587,1440,1400,1290,1860,2320,2350,2420,2520,2710,2960,3350,3610,4480,5170,6260,6760,8130,8080,8580,11k,12.2k,12.9k,13.6k,17.3k,17.3k,19.4k,23.3k,25k,25.8k,29.1k,30k,32.9k,35.1k,37.7k,38.3k,39.4k,44.2k,49.3k,54.4k,58.1k,52.9k,58.6k,67.5k,71.6k,79.3k,74.3k,66.9k,71.5k,76k,79.4k,82.1k,82.7k,89.6k,92.5k,95k,86.3k,78k,78.1k,91.4k,101k,106k,117k,126k,132k,128k,153k,155k,148k,151k,139k,76.7k,52.8k,70.1k,88.2k,98.5k,103k,124k,131k,146k,143k,142k,161k,188k,181k,193k,233k,283k,293k,325k,359k,387k,420k,490k,562k,654k,769k,797k,853k,915k,915k,869k,908k,934k,902k,954k,946k,928k,898k,882k,938k,913k,913k,903k,986k,1.02M,1.16M,1.17M,1.18M,1.17M,1.23M,1.24M,1.25M,1.25M,1.21M,1.24M,1.27M,1.25M,1.28M,1.29M,1.28M,1.29M,1.27M,1.3M,1.23M,1.16M,1.22M,1.27M,1.31M,1.32M,1.27M,1.23M,1.21M,1.19M,1.16M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.72,1.15,1.44,,,,,,,,,,,,,,,,,8.91,,,,,27,,,37.9,40.2,53.2,67.5,60.9,63.8,71.6,68.4,216,248,206,280,304,410,421,395,480,552,686,700,914,938,1100,1160,1220,1390,1410,1540,1580,1670,1740,1880,2130,2340,2480,2910,2960,3400,3460,4000,4490,5210,5900,6060,5850,5720,6370,5680,6480,7260,7310,7710,7560,7840,8880,9650,8710,8000,8520,7840,3130,2670,2440,2640,3220,3560,4240,4190,6060,7540,8380,9020,12.3k,14.7k,16.6k,18.5k,22.4k,25.4k,29.1k,29.8k,31.4k,31.8k,38.1k,33.5k,23.1k,29.4k,27.6k,29.2k,32.8k,39.5k,42k,47.8k,53.3k,57.7k,61.8k,65.4k,71.4k,81k,88.8k,97.2k,104k,89.6k,93.3k,96.2k,101k,108k,115k,122k,129k,135k,139k,144k,152k,161k,169k,177k,183k,193k,200k,207k,213k,215k,224k,219k,223k,226k,228k,246k,247k,246k,252k,247k,267k,257k,233k,205k,171k,163k,149k,140k,135k,108k,134k,128k,146k,164k,170k,184k,207k,213k,213k,209k,236k,227k,234k,240k,257k,264k,268k,284k,322k
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,1390,1590,1510,1700,1990,2220,2280,2090,2210,2430,2400,2620,2860,2830,2470,2680,2700,2820,3130,3080,3680,3870,3920,4950,4970,4600,5040,5300,5020,6160,6480,4640,4600,4260,3720,4080,5080,4690,5090,5690,4710,5410,6220,6430,7410,9160,8130,9900,10k,10.3k,9240,7830,6590,7440,8350,9340,9550,9920,12k,11.8k,12.9k,12k,12.8k,13.8k,16.3k,17.2k,18.1k,18.5k
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615,0.0738,0.0492,0.0615,,,,,,,,,,,,,,,,,0.381,,,,,1.16,,,1.62,1.72,2.28,2.89,2.61,2.73,3.06,2.93,9.25,10.6,8.83,12,13,17.6,18,16.9,20.5,23.6,29.3,29.9,39.1,40.2,47.1,49.6,52.3,59.5,60.4,65.8,67.5,71.4,74.5,80.4,91.1,100,106,124,127,146,148,171,192,223,253,259,250,245,273,243,278,311,313,330,324,336,380,413,373,342,365,336,134,114,104,113,138,152,182,179,260,323,359,386,525,631,711,794,960,1090,1250,1270,1350,1360,1630,1430,987,1260,1180,1250,1400,1690,1800,2050,2280,2470,2650,2800,3060,3470,3800,4160,4440,8250,8590,8860,9300,9970,10.6k,11.2k,11.9k,12.4k,12.8k,13.3k,14k,14.8k,15.6k,16.3k,16.9k,17.8k,18.4k,19.1k,19.7k,19.8k,20.6k,20.2k,20.6k,20.9k,21.1k,22.7k,22.8k,22.6k,23.2k,22.7k,21.2k,18.6k,11.1k,8510,6150,4510,5670,5580,5920,4650,4610,3870,4920,5390,5810,5520,5420,6520,7550,6740,6320,7560,10k,9670,10.1k,10.3k,9650,9470,10.1k
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,132,161,198,213,235,286,308,389,341,403,469,418,491,1350,1170,249,117,128,73.1,73.1,72.8,72.5,51.2,29.3,286,301,337,367,411,418,433,436,451,451,1260,1310,1350,1390,1470,1540,1600,1530,1940,1900,1980,2250,2210,2380,2450,2780,3000,3460,3810,4570,5030,5110,5340,5480,6520,8450,9730,10k,10.4k
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,18.3,18.3,11,11,22,33,11,22,29.3,25.7,36.7,33,33,33,22,22,25.7,29.3,29.3,25.7,22,22,22,18.3,22,22,22,22,22,25.7,29.3,29.3,29.3,29.3,29.3,29.3,29.3,33,29.3,40.3,44,47.7,58.7,66,58.7,66,55,58.7,55,51.3,51.3,58.7,62.3,66,67.8,69.6
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,66,51.3,51.3,51.3,58.7,55,66,66,106,106,110,114,121,128,132,143,150,161,172,176,198,198,213,198,202,216,216,224,220,231,220,224,231,235,238,240,242
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,488,898,1670,2180,2190,2930,3470,4700,5160,6450,7560,8220,9020,11.2k,12.6k,14.5k,17.3k,21.1k,22.2k,25k,30k,35.1k,37.2k,42.5k,53.8k,58.6k,60.3k,73.1k,75.7k,81.9k,93.3k,106k,113k,133k,135k,140k,142k,151k,164k,179k,183k,193k,222k,236k,248k,262k,282k,322k,345k,374k,402k,428k,364k,399k,446k,449k,464k,463k,479k,460k,466k,494k,506k,507k,566k,589k,584k,592k,587k,596k,618k,641k,659k
United Korea (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,158,198,235,293,341,488,609,506,,499,590,766,825,843,1010,1060,1690,1820,1880,2170,2490,2350,2490,2930,3450,4590,5410,6340,6790,9080,11.9k,15.2k,17k,18.8k,18.2k,19.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7460,8190,8430,8370,7940,8070,7260,8410,8940,8940,8890
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,6750,337,1060,385,117,0,0,1400,1850,1040,2200,3690,3800,7800,9980,14.3k,17k,25.3k,35.4k,35.2k,25.4k,22.4k,26.8k,25k,27.1k,27.6k,24.2k,19.3k,16.8k,18.5k,17.2k,21k,17.6k,24.6k,25.2k,21.1k,21.6k,28.3k,29.1k,35.3k,31.4k,32.9k,35.8k,37.8k,14.9k,29.7k,49.2k,55.3k,54.6k,50k,54.7k,51.6k,53.9k,53.4k,57.5k,58k,59.7k,63.2k,71.2k,73.4k,74.9k,82.4k,87k,89.3k,86.3k,100k,94.4k,87.8k,92.4k,98.1k,97.7k,98.1k
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,58.7,58.7,73.3,77,80.7,114,132,147,172,180,235,319,169,319,572,422,488,517,293,253,224,231,231,224,187,150,158,180,183,205,209,213,213,231,513,546,593,608,634,670,752,792,821,847,959,1060,1160,1220,1280,1340,1750,1830,2130,2670,3000,3170,3400,4010,4330,8810,17.5k,18.2k,19.3k
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,14.7,,51.3,58.7,62.3,62.3,58.7,22,22,352,36.7,66,73.3,73.3,84.3,103,117,1510,1460,1180,1250,1310,1620,1890,2070,1980,2450,2580,2680,2850,3030,3260,3310,3630,3570,3700,4350,3940,5300,5660,7070,7090,6270,5930,5390,5500,5790,5890,5850,5720,6950,6720,7770,7480,7680,7350,7730,7870,8120,9730,10.4k,11.1k,12.3k,12.8k,15.1k,16.3k,16.4k,15.5k,16.4k,16.3k,18.5k,17.2k,16.7k,14.8k,13.8k,17.4k,21k,20k,20.3k,22.4k,22.2k,23.7k,24.1k,24.5k,24.1k,24.2k
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,44,55,58.7,103,58.7,47.7,84.3,161,143,165,161,253,356,484,557,612,612,884,1270,1450,1530,1510,1480,1720,1480,1480,1470,1500,1940,2040,1940,598,707,696,717,723,759,810,660,469,370,388,425,422,425,435,454,483,391,422,448,435,467,546,656,673,628,536,476,762,852,965,878,1190,1210,1360,1500,1560
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,169,165,249,301,429,330,312,352,433,693,1200,1050,1460,664,1020,2630,18.5k,30.1k,35.6k,32.3k,21.6k,15.2k,14.6k,9350,11.6k,17.9k,20.1k,21.2k,25.9k,26.8k,28.7k,30.6k,30.2k,28.3k,31k,33.9k,32.4k,36.2k,37.1k,36.5k,42.7k,37.1k,38.7k,43.8k,45.7k,43.8k,44.7k,45.2k,44.3k,46.8k,47.8k,47.5k,48.8k,50k,51.7k,52.7k,49.4k,55.4k,57.2k,61.2k,39.3k,52.5k,56k,58.7k,56.4k,50.1k,52.4k,54.1k
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,7.33,11,7.33,11,11,11,11,11,14.7,18.3,18.3,22,22,25.7,29.3,33,36.7,62.3,66,69.7,77,80.7,73.3,77,84.3,69.7,99,150,114,95.3,114,103,114,128,132,147,165,165,161,169,150,231,257,308,323,304,293,334,348,348,290,359,356,367,367,385,396,385,403,407,407,407,407,411,414,418,421
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,206,207,215,201,204,206,219,229,227,217,215,220,230,230,229,231,201,220,206,191,177,185,193,161,159,149,155,153
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1550,1940,2070,1790,1660,1420,2320,1950,2060,2260,2340,2560,2530,2270,2660,2660,2950,3240,4320,3600,3200,3540,3690,2930,2900,2800,2910,3440,3810,3390,4010,4470,4860,3860,3920,3660,4030,3460,3450,3830,4140,5110,4980,5440,5820,6980,7530,7740,8520,10.1k,10.3k,11k,11k,12.2k,11.9k,11.8k,12.2k,12k,13k,13.1k,14.9k,15.8k,14.7k,17.7k,19.8k,23k,24.5k,23.4k
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1530,1590,1640,1680,1710,1740,1770,1800,1830,1850,1880,1910,1930,1980,2010,2040,2080,2130,2220,2280,2330,2400,2420,2430,2350,2510,2790,2660
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.146,0.0972,0.121,,,,,,,,,,,,,,,,,0.753,,,,,2.28,,,3.21,3.4,4.49,5.71,5.15,5.39,6.05,5.78,18.3,21,17.4,23.7,25.7,34.7,35.6,33.4,40.5,46.7,57.9,59.1,77.3,79.3,93,98,103,117,119,130,133,141,147,159,180,198,210,246,250,288,293,338,380,440,499,512,495,484,538,480,548,614,618,652,639,663,751,816,736,676,720,663,264,226,206,223,272,301,358,354,513,637,708,762,1040,1250,1400,1570,1900,2150,2460,2520,2660,2690,3220,2830,1950,2490,2330,2470,2770,3340,3550,4040,4500,4880,5230,5530,6040,6850,7510,8210,8770,12k,12.5k,12.9k,13.5k,14.5k,15.4k,16.4k,17.3k,18.1k,18.6k,19.4k,20.4k,21.7k,22.9k,23.9k,24.9k,26.2k,27.2k,28.2k,29.2k,29.4k,30.6k,30.1k,30.7k,31.2k,31.5k,33.9k,34k,33.9k,34.8k,34.1k,35.8k,37.9k,21.2k,16.3k,15.8k,15k,15.7k,15.1k,15.9k,13.4k,11.8k,12.5k,12.6k,12.6k,13.2k,14.1k,14.4k,15.8k,15.1k,12.8k,13.7k,14.1k,14.1k,13.1k,12.9k,13.1k,13.1k,13.4k,13.6k
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,36.7,44,51.3,58.7,7430,9020,9410,8660,8790,9890,10.4k,10.8k,10.1k,10.4k,11.5k,11.6k,11.6k,11.4k,12.3k,12.2k,11.6k,11.4k,12.3k,13.2k,13.7k,13.2k,13.5k,14.2k,14.4k,11.9k,11.9k,11k,11.9k,12.2k,11.1k,9500,8940,8380,9020,9260,9140,8840,9130,9880,11.9k,12.5k,12.2k,12.4k,11.6k,9170,9220,8570,7690,8150,8740,9230,10k,10.5k,11.9k,12.1k,11.9k,11.3k,11.2k,10.7k,11.2k,11.1k,10.9k,10.3k,9830,9340,9080,9250,9590
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,36.7,36.7,25.7,25.7,36.7,36.7,51.3,58.7,77,80.7,,,,,,,,,,,,,,,,,,,,6430,6700,6910,7250,7780,8280,8780,9270,9700,9980,10.4k,10.9k,11.6k,12.2k,12.7k,13.2k,13.9k,14.5k,15k,15.5k,15.6k,16.2k,15.9k,16.2k,16.5k,16.6k,17.9k,18k,17.9k,18.4k,18k,19.5k,17.8k,14.1k,11.8k,10.3k,9100,9180,8650,8290,7700,7070,7480,7510,7730,7740,7820,8320,8640,8200,7460,8560,7820,7530,7390,7190,7280,7240,7240,7200
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,25.7,29.3,29.3,36.7,51.3,69.7,95.3,106,128,132,150,165,169,169,205,227,231,224,268,297,253,308,414,414,528,535,484,682,605,733,876,972,964,1030,1030,1090,1080,1180,1270,1230,1410,1490,1560,1520,1630,1690,1520,1530,1720,1830,1620,1360,1130,1890,1240,1460,1290,1210,1510,2020,2000,2040,2090
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,40.3,91.7,150,176,191,235,213,370,466,319,396,389,330,356,422,524,686,832,942,1090,2560,2930,3570,4180,3590,3560,3520,3060,3270,3370,3640,3770,3080,3960,4420,4260,5460,5410,5620,5820,7290,8200,8040,9630,11.1k,11.1k,11.5k,12.7k,13.1k,15.9k,15.9k,15.8k,17k,17.8k,17.8k,17.8k,18.9k,20.1k,21.2k,22.9k,23.1k,24.3k,25.6k,27.6k,29k,29.6k,30.4k,31.1k,31.3k,32.4k,33.6k,37.5k,38.1k,37.5k,43.4k,45.6k,47.4k,50.3k,52.9k,52.6k,56.2k,56.8k,59.1k,58.8k,59.7k,61.1k,61.1k,63.7k,66.4k
